|   Ngày Xuất    |    Mã vật tư     |    Số lượng     |  Tổng giá tiền  |
18/12/2023       ,  S01             ,  22              ,   4484          
18/12/2023       ,  S02             ,  20              ,   2420          
18/12/2023       ,  S03             ,  132             ,   27793         
18/12/2023       ,  S010            ,  12              ,   2400          
26/12/2023       ,  S05             ,  100             ,   1000000       
26/12/2023       ,  S04             ,  50              ,   500000        
04/01/2024       ,  S05             ,  51              ,   510000        
04/01/2024       ,  S01             ,  21              ,   241000        
04/01/2024       ,  S03             ,  13              ,   100600        
04/01/2024       ,  S02             ,  5               ,   5000          
05/01/2024       ,  S02             ,  1               ,   120           
05/01/2024       ,  S03             ,  1               ,   200           
